fromCity,toCity,departureTime,passengers,airline
Mudanjiang,Peking,1465610400000,129,OG-385
Shanghai,Amravati,1465495260000,241,UA-443
Tlalnepantla,Ecatepec,1464242520000,40,KG-481
Selam,Khulna,1464326700000,33,QM-450
Hangzhou,Wenzhou,1465090920000,43,RK-452
Tokyo,Xianyang,1464402900000,516,AD-166
Adana,Istanbul,1464142140000,175,RK-863
Xinyang,Xian,1465985280000,88,QI-976
Irbil,Karachi,1466038800000,199,WI-784
Changde,Tokyo,1464640620000,508,WK-780
Peking,Harbin,1466049480000,170,UA-340
Zhenjiang,Manila,1464536580000,175,FI-939
Belo Horizonte,Teresina,1464706320000,49,SC-351
Tokyo,Gujranwala,1465277400000,521,QM-257
Riyadh,Istanbul,1466160180000,210,AD-705
Tiruchchirappalli,Kalyan,1466504820000,32,SC-298
Monterrey,Mérida,1464204240000,29,QI-787
Rajshahi,Kathmandu,1465995840000,23,HN-878
Zhangzhou,Guangzhou,1464255240000,59,FI-282
Shanghai,Maanshan,1464557760000,240,FI-785
Irbil,Bombay,1465321380000,216,TX-566
Agra,Delhi,1464594240000,196,FI-399
Jakarta,Tangshan,1464599340000,168,DN-646
Penza,Ufa,1465006020000,24,DN-790
Patna,Dehra Dun,1466143200000,33,DN-560
Ulhasnagar,Bhavnagar,1466349480000,17,HN-771
Huaiyin,Taian,1465880280000,20,QI-769
Ahvaz,Astrakhan,1465880640000,21,SI-509
Jaipur,Karachi,1466621100000,227,SC-766
Faridabad,Madras,1465451160000,89,EA-387
Harbin,Seoul,1465248600000,215,TX-820
Aleppo,Istanbul,1466076180000,189,HN-351
Lusaka,Lilongwe,1466073600000,30,AM-409
Yaoundé,Bamako,1466702100000,41,CE-451
Naucalpan,Ecatepec,1464698940000,42,SI-252
Aligarh,Varanasi,1464638460000,30,WK-146
Cairo,Douala,1465101540000,144,SK-181
Teresina,São Paulo,1465032540000,170,TX-971
Washington,Ottawa,1466640960000,22,WI-671
Indore,Durgapur,1466279700000,37,WK-837
Rostov-na-Donu,Karachi,1465231560000,201,OG-672
Tokyo,Samara,1464591240000,518,AM-995
Hai Phong,Zhuhai,1464981780000,17,KG-633
Ahmadabad,Surat,1465302540000,105,NS-490
Kingston,Valencia,1464153600000,31,WI-686
Ipoh,Bangkok,1465258320000,91,WK-727
Rajkot,Ludhiana,1464734700000,43,FI-815
Zigong,Shanghai,1466561220000,242,QI-725
Cairo,Tbilisi,1464772860000,139,DN-403
Istanbul,Sofia,1464311700000,172,NS-238
Ibadan,Cairo,1466083320000,179,EA-710
Lahore,Varanasi,1466331840000,118,KG-496
Gwalior,Peshawar,1466553600000,33,AD-244
Karachi,Rostov-na-Donu,1466377320000,201,SC-425
Kanpur,Quetta,1464646200000,56,HN-495
Jiamusi,Tokyo,1465693680000,508,WI-714
Samara,Moscow,1466444160000,182,AM-225
Colombo,Madras,1464358020000,79,WI-242
Mandalay,Haora,1464304920000,35,TX-340
Denver,Houston,1464402360000,41,WK-133
Ajmer,Rawalpindi,1465115640000,35,WK-397
Hubli,Bombay,1464549480000,214,CE-747
Tokyo,Vladivostok,1465681320000,509,KG-281
Haikou,Shanghai,1464430080000,241,SK-815
Dehra Dun,Calcutta,1464366900000,81,DN-939
Tokyo,Bareli,1464195840000,511,EA-305
Birmingham,Moscow,1465415820000,180,SK-747
Peshawar,Kanpur,1464522360000,64,KG-401
Taipei,Seoul,1464848640000,203,DN-352
Suzhou,Xian,1466447460000,84,QI-998
Istanbul,Marrakesh,1465400940000,170,TX-995
Wenzhou,Shanghai,1464680760000,245,RK-551
Zhangjiakou,Wuhan,1465329300000,77,CE-449
Matola,Maputo,1466494440000,27,NS-441
Yingkou,Langfang,1464236220000,20,OG-932
Gaziantep,Kayseri,1466662200000,26,HN-519
Kayseri,Tbilisi,1464381720000,26,AD-276
San Antonio,Culiacán,1465728420000,29,AD-108
Istanbul,Alexandria,1464641340000,216,KG-326
Hubli,Gujranwala,1466562000000,35,QI-129
Shanghai,Shaoyang,1465678740000,242,SC-385
Kaifeng,Huainan,1464249360000,25,UA-552
Bombay,Tokyo,1464599280000,701,CE-138
Frankfurt,Cologne,1464757320000,25,SC-949
Delhi,Rasht,1465298640000,183,QM-983
Karachi,Tokyo,1466386320000,684,EA-459
Bogotá,San Nicolás de los Garza,1465400940000,120,KG-197
Qiqihar,Changchun,1466254860000,54,SI-957
Ludhiana,Tokyo,1466343600000,524,WI-631
Bombay,Pretoria,1464864120000,227,HN-729
Manila,Kanpur,1464526980000,210,NS-960
Karachi,Esfahan,1464160980000,209,QI-613
Barcelona,Tokyo,1465101900000,524,KG-417
Chengdu,Delhi,1466556840000,236,TX-503
Delhi,Bhopal,1464153900000,198,SK-799
Multan,Moradabad,1464477360000,34,KG-261
Zhangzhou,Tokyo,1465017420000,509,AD-761
Chongqing,Qiqihar,1466639280000,77,TX-138
Shanghai,Luancheng,1464768120000,241,SC-299
Kanpur,Aurangabad,1464642360000,60,QI-639
Seoul,Ranchi,1465251120000,178,QM-290
Ecatepec,New York,1465915500000,157,UA-350
Niigata,Seoul,1464732180000,171,QI-878
Shanghai,Almaty,1465744620000,251,HN-461
Amsterdam,Genoa,1465089480000,21,QI-887
Dehra Dun,Jaipur,1465400100000,51,KG-169
Chimalhuacán,Puebla,1465094940000,31,CE-671
Nantong,Xianyang,1466375940000,27,HN-933
Tokyo,Chandigarh,1465795440000,514,AM-485
Tanggu,Xinxiang,1465407360000,20,WK-953
Huaibei,Yingkou,1465470120000,23,KG-177
Taipei,Shaoyang,1464628500000,50,WK-978
Bangalore,Calcutta,1465171380000,151,EA-725
Tokyo,Berlin,1466289720000,553,RK-648
London,Istanbul,1465246560000,273,RK-334
Tianjin,Mudanjiang,1465690800000,70,KG-837
São Paulo,Arequipa,1464205800000,172,SI-266
Faridabad,Pimpri,1465917300000,40,TX-540
Qingdao,Tokyo,1466449080000,526,AM-346
Ranchi,Allahabad,1466247420000,32,RK-292
Maisuru,Guntur,1465784460000,22,SI-214
Shanghai,Maanshan,1464211080000,240,OG-549
Karachi,Thana,1466446860000,208,AM-540
Harbin,Tianjin,1465483740000,111,QI-894
Irbil,Tabriz,1465771860000,37,SI-726
Yerevan,Istanbul,1465257960000,172,SC-118
Guangzhou,Bombay,1466377080000,251,AD-465
Dhaka,Guwahati,1465426800000,117,SK-597
Mérida,Port-au-Prince,1465138860000,31,QI-997
Nagoya,Liaoyang,1465003200000,45,OG-466
Mérida,Naucalpan,1466490180000,24,UA-298
Pimpri,Delhi,1466624580000,193,QI-611
Tokyo,Hengyang,1465887000000,512,RK-252
Ludhiana,Kathmandu,1466301900000,37,CE-917
Karachi,Nagpur,1465202580000,220,RK-537
Raipur,Khulna,1465866360000,32,EA-255
Kiev,Tbilisi,1466464920000,56,EA-728
Bareli,Delhi,1464967200000,185,WI-909
Liuzhou,Tokyo,1466346540000,512,AD-495
Palembang,Karachi,1464596160000,204,KG-666
Depok,Bombay,1465380180000,220,NS-177
Gujranwala,Vijayawada,1464785880000,35,FI-205
Handan,Kaifeng,1464337140000,30,NS-827
Ahmadabad,New Delhi,1464487920000,232,QM-972
Lahore,Bareli,1466065260000,112,SI-834
Manila,Huainan,1464946920000,182,DN-385
Xianyang,Yingkou,1464621720000,25,NS-352
Xingtai,Wenzhou,1465707780000,23,DN-791
Agra,Gwalior,1465880460000,36,TX-348
Kunming,Shiliguri,1464194340000,24,SC-214
Kobe,Tokyo,1464727200000,524,SC-457
Maiduguri,Cotonou,1464941880000,28,QM-120
Rongcheng,Shaoyang,1464520020000,26,SK-364
Vladivostok,Nagoya,1465335600000,44,QM-527
Nanjing,Hefei,1464956880000,71,EA-596
Tokyo,San Jose,1464408480000,514,SI-835
Poznan,Copenhagen,1464390900000,26,EA-178
Tokyo,Palermo,1466163660000,510,QI-955
Bayrut,Istanbul,1465221840000,175,OG-591
Stuttgart,Moscow,1464264600000,174,SC-196
Shanghai,Madras,1464524940000,300,QM-282
Klang,Dhaka,1466696880000,117,OG-431
Surabaya,Malang,1466713860000,49,WI-722
Seoul,Rangoon,1464263580000,235,QM-934
Changde,Tokyo,1465279380000,508,SI-793
Lahore,Thana,1465659540000,123,SK-894
Abidjan,Dakar,1464528900000,101,EA-685
Qinhuangdao,Chongqing,1464575340000,75,AM-642
Suzhou,Kobe,1464178920000,45,QI-308
Maputo,Pretoria,1464444600000,44,AM-204
Málaga,Agadir,1465134060000,19,HN-582
Tokyo,Yekaterinburg,1466280780000,520,RK-282
Ulhasnagar,Surat,1466607360000,54,CE-889
Shanghai,Fuzhou,1465073460000,250,TX-560
Guangzhou,Hai Phong,1464237600000,59,FI-905
Mashhad,Sharjah,1464559860000,45,QI-633
Indore,Thana,1465767300000,52,QM-204
Ufa,Astrakhan,1465869780000,24,EA-134
Kunming,Hai Phong,1464687000000,25,RK-439
Chisinau,Milan,1465147980000,29,HN-764
Chandigarh,Faridabad,1465621260000,34,CE-792
Pingdingshan,Seoul,1465836360000,178,SC-952
Wenzhou,Karachi,1465583040000,198,HN-695
Aurangabad,Bareli,1464989880000,27,AM-567
Tangshan,Bengbu,1466623860000,41,KG-337
Eskisehir,Riyadh,1464800460000,63,QM-435
Luanda,Lusaka,1465464360000,64,CE-753
Kuala Lumpur,Tokyo,1466223420000,523,SI-445
Bombay,Bhubaneswar,1466201880000,213,RK-946
Rangoon,Surat,1464755880000,117,UA-396
Gorakhpur,Peking,1465517100000,129,SC-756
Algiers,Lagos,1465906620000,171,SC-144
Tokyo,Mudanjiang,1465265040000,510,DN-353
Xingtai,Jiangmen,1465347060000,18,HN-164
Riyadh,Lagos,1464413280000,194,DN-812
Bucharest,Warsaw,1465277640000,56,AM-950
Zhangdian,Kitakyushu,1465142820000,26,SC-117
Wuxi,Shenyang,1466196180000,73,WI-944
Bayrut,Bursa,1464753240000,42,FI-527
Pingdingshan,Xuzhou,1465983360000,33,FI-311
New Delhi,Faisalabad,1466692440000,213,WI-963
Madrid,Bremen,1466673120000,57,UA-756
Belo Horizonte,Natal,1464302280000,49,QM-827
Aligarh,Bombay,1464944640000,213,AM-691
Guangzhou,Shaoguan,1464412740000,60,AM-972
Lahore,Kabul,1466190420000,148,CE-775
Dandong,Qingdao,1465117620000,36,WK-911
Hamilton,Washington,1465670460000,19,SC-839
Manila,Saitama,1465054980000,182,QM-119
Qingdao,Nagoya,1466712180000,60,TX-195
Guatemala City,Tokyo,1465855500000,515,HN-844
Teresina,São Paulo,1466380980000,170,DN-477
Chandigarh,Agra,1465647840000,37,AM-435
Chengdu,Ipoh,1464637320000,73,AM-682
Manila,Haora,1465567980000,182,FI-759
Taizhou,Tokyo,1464654720000,509,SC-728
Medan,Singapore,1465026120000,84,SC-128
Qiqihar,Zhenjiang,1465527960000,24,RK-108
Istanbul,Gaziantep,1465453980000,172,AM-805
Pune,Kolhapur,1464714180000,54,TX-579
Tokyo,Haikou,1465066920000,509,RK-221
Nanchang,Cebu,1464533580000,41,FI-920
Tokyo,Kuching,1464322020000,509,FI-596
Contagem,Campinas,1464400740000,26,TX-652
Dalian,Zhuhai,1464598440000,40,QI-363
Niamey,Bamako,1465222380000,32,HN-678
Shaoguan,Jiaozuo,1464191820000,18,SK-405
Jamshedpur,Karachi,1465901580000,194,WK-988
Omsk,Delhi,1466169600000,191,OG-436
Gizeh,Belgrade,1465707480000,56,HN-591
Dehra Dun,Kalyan,1464634860000,28,EA-431
Quetta,Dushanbe,1464594300000,20,DN-183
Moscow,Shiraz,1466371860000,184,WI-385
Hamadan,Yerevan,1465613880000,25,FI-122
Colombo,Shanghai,1464659760000,242,UA-710
Amritsar,Tokyo,1465719300000,517,WI-170
Baoding,Jilin,1465713900000,45,SI-464
Yueyang,Suzhou,1466452320000,29,SK-593
Asmara,Khartoum,1464830640000,40,AD-926
Tokyo,Haora,1464229620000,516,AM-661
Varanasi,Pune,1464681540000,65,DN-210
Guarulhos,São Bernardo do Campo,1465805280000,30,TX-462
Jinan,Wuhu,1465273680000,40,WI-865
Cairo,Copenhagen,1465761240000,140,SC-721
Kerman,Bombay,1466097900000,210,UA-926
Ogbomosho,Ilorin,1466626440000,26,WK-384
Puebla,Juarez,1465360980000,44,SK-464
Huainan,Taiyuan,1464508740000,59,AD-980
Tokyo,Neijiang,1465002240000,508,TX-698
Jalandhar,Haora,1466691180000,28,SK-410
Tokyo,Taichung,1464320160000,517,EA-386
Shaoguan,Zhangzhou,1466392560000,19,EA-633
Baghdad,Berlin,1465079160000,144,AM-734
Ningbo,Huainan,1464258180000,27,SK-210
Antipolo,Jakarta,1464862680000,144,EA-893
Fortaleza,São Paulo,1466674980000,197,AM-233
San Nicolás de los Garza,Dallas,1465326300000,27,WK-697
Istanbul,Irbil,1466005200000,170,DN-500
Lanzhou,Foshan,1465448580000,32,UA-514
Lubumbashi,Bombay,1465469700000,223,AD-830
Natal,Recife,1466255520000,35,SC-971
Bombay,Hamadan,1464360840000,209,RK-428
Chimalhuacán,San Luis Potosí,1464805980000,20,QM-927
Dalian,Nanning,1465841220000,45,CE-532
Peking,Tokyo,1466151420000,618,SC-434
Xinyang,Ho Chi Minh City,1465812300000,80,WI-594
Mudanjiang,Taian,1465121580000,22,CE-902
Kigali,Cairo,1466372340000,134,QI-981
Padang,Seoul,1464269280000,177,SK-807
Delhi,Gorakhpur,1465672800000,184,KG-325
Shenzhen,Bangkok,1466711700000,96,CE-363
Xuzhou,Wenzhou,1466381580000,32,OG-376
Aligarh,Srinagar,1464538680000,27,AD-740
Luancheng,Changde,1465125780000,17,KG-233
Budapest,Krasnodar,1466128680000,37,QI-151
Hermosillo,Tokyo,1464673800000,509,SC-407
Houston,Tijuana,1464763620000,54,HN-781
Ha Noi,Guangzhou,1466025840000,72,RK-983
Tolyatti,Bombay,1466256840000,213,OG-289
Tokyo,Sakai,1465912920000,512,HN-216
Bombay,Khartoum,1465967040000,232,DN-410
Tianjin,Bengbu,1464405840000,68,QM-522
Delhi,Abu Dhabi,1465993860000,183,CE-682
Bhavnagar,New Delhi,1465639440000,182,QI-788
Asansol,Kathmandu,1465329840000,20,TX-748
Shaoguan,Ho Chi Minh City,1466428260000,65,QM-700
Cangzhou,Wuhan,1466626140000,74,SI-238
Chengdu,Jakarta,1465031580000,198,WI-856
Tokyo,Tangshan,1464307440000,532,DN-253
Bombay,Surat,1466155140000,247,QI-584
Luoyang,Delhi,1465283280000,195,WK-586
Dubai,Tokyo,1465940700000,518,HN-500
Dhaka,Seoul,1465971480000,267,HN-687
Acapulco,Morelia,1465507740000,19,TX-569
Volgograd,Karachi,1465887300000,200,RK-381
Rio de Janeiro,João Pessoa,1465662000000,106,SK-771
Qingdao,Xingtai,1465982580000,35,OG-252
Mexico,Acapulco,1465105740000,148,SK-499
Odesa,Bucharest,1465895160000,45,NS-861
Tembisa,Kinshasa,1465210980000,131,OG-872
New Delhi,Shenzhen,1466292780000,189,SC-530
Qom,Abu Dhabi,1465468620000,25,QM-520
Vijayawada,Dhaka,1466559720000,117,CE-582
Bombay,Surat,1465440840000,247,TX-497
Gizeh,Aden,1465681380000,47,QM-818
Tangier,Barcelona,1466437740000,38,EA-499
Montreal,Santo Domingo,1465989900000,86,KG-778
Jinzhou,Peking,1464314220000,128,AD-702
Hyderabad,Riyadh,1466491560000,112,FI-365
Izmir,Riga,1466399820000,51,OG-738
Bombay,Ghaziabad,1466633400000,220,DN-371
Manila,Antipolo,1466073120000,174,EA-874
Kawasaki,Changchun,1465704840000,61,SI-897
Arak,Esfahan,1466329740000,32,CE-364
Faisalabad,Patna,1464472380000,65,EA-508
Huainan,Harbin,1466547360000,67,FI-955
Naples,Moscow,1465593720000,180,DN-625
Amritsar,Bhopal,1465470660000,42,HN-633
Shiliguri,Jakarta,1466108940000,143,WI-788
Tokyo,Xiamen,1466303280000,509,TX-752
Shanghai,Brisbane,1465642080000,261,SI-757
Dhaka,Zhanjiang,1465658940000,113,AD-151
Irkutsk,Tokyo,1466157240000,509,NS-559
Chengdu,Xian,1464248220000,125,HN-143
Ulhasnagar,Delhi,1464927480000,181,DN-962
Jinzhou,Shanghai,1465519800000,241,WI-384
Tokyo,Fushun,1465873620000,522,WI-136
Agra,Tashkent,1464323880000,54,RK-660
Srinagar,Varanasi,1464925620000,33,QM-357
Gujranwala,Tokyo,1465339500000,521,HN-944
Nanjing,Fuzhou,1465437240000,67,EA-329
Douala,Onitsha,1466575500000,30,QM-233
Taian,Tokyo,1466398500000,511,AM-365
Tanggu,Qinhuangdao,1465095120000,20,RK-342
Singapore,Bekasi,1464231180000,80,AD-196
Calcutta,Vijayawada,1465902240000,87,QM-596
Madrid,Casablanca,1464313380000,106,AD-830
São Paulo,Maceió,1464460800000,174,SC-835
Manila,Xuzhou,1464683520000,184,DN-529
Fuzhou,Zhuzhou,1464802440000,30,NS-507
Karachi,Eskisehir,1464632400000,192,RK-846
Bremen,Vienna,1465233720000,33,FI-502
New Delhi,Manila,1466334960000,339,EA-411
Peking,Agra,1464382380000,141,EA-649
Tokyo,Damascus,1466721420000,525,QM-262
Shiraz,Yerevan,1464682680000,37,QM-823
Jalandhar,Karachi,1466457480000,197,RK-425
Duisburg,Rotterdam,1465338720000,17,RK-527
Taiyuan,Zhangzhou,1465873560000,52,OG-107
Karachi,Lilongwe,1466214300000,194,UA-971
Adana,Alexandria,1464728760000,80,TX-100
Bhubaneswar,Gwalior,1465479840000,26,QI-224
Istanbul,Athens,1465202700000,167,KG-695
Moradabad,New Delhi,1464971400000,185,SC-652
Yaroslavl,Saint Petersburg,1465365060000,73,FI-233
Toronto,Quebec,1464564120000,83,EA-202
Tashkent,Moscow,1465364100000,196,SI-275
Almaty,Bombay,1465453260000,220,WK-991
Karaj,Peshawar,1466554980000,42,SI-380
Peking,Cangzhou,1464798720000,127,KG-534
Cangzhou,Yancheng,1464204480000,18,WK-303
Zagreb,Berlin,1464487260000,65,TX-780
Beirut,Bayrut,1464712680000,39,UA-495
Goiânia,Guarulhos,1464831840000,37,CE-558
Warri,Ibadan,1465387020000,65,TX-516
Jakarta,Depok,1464717000000,154,CE-891
Bogotá,Cochabamba,1465599780000,127,TX-343
Zhuhai,Kunming,1465254720000,24,TX-539
Oslo,Saint Petersburg,1465209780000,77,TX-193
Ufa,Mashhad,1465494300000,53,HN-226
Natal,Fortaleza,1465247820000,50,CE-693
Zaragoza,Marrakesh,1464435420000,25,OG-321
Kitakyushu,Seoul,1465605120000,179,QM-661
Port Said,Baghdad,1465105200000,98,NS-676
Tlalnepantla,Mexico,1466602080000,149,QI-491
Zagreb,Poznan,1466526780000,20,QM-285
Benxi,Chengdu,1465641600000,78,AD-872
Cairo,Abu Dhabi,1466297820000,132,FI-482
Benoni,Lagos,1466276520000,149,AM-606
Srinagar,Delhi,1464562200000,189,FI-453
Berlin,Zagreb,1464390840000,65,EA-594
Jaipur,Kochi,1465911540000,52,NS-350
Istanbul,Qom,1465315920000,171,WK-843
Ha Noi,Seoul,1466086920000,186,CE-315
Multan,New Delhi,1465982340000,196,TX-672
Kinshasa,Accra,1465323720000,154,HN-152
Faisalabad,Amritsar,1465428660000,57,TX-754
Cairo,Accra,1465251060000,154,WK-765
Nouakchott,Rabat,1466647440000,41,WI-418
Aguascalientes,Zapopan,1465759560000,26,KG-258
Houston,Nezahualcóyotl,1466577300000,51,KG-447
Tokyo,Yueyang,1464870120000,508,FI-745
Ho Chi Minh City,Padang,1466643780000,68,WK-148
Bursa,Baghdad,1465575420000,112,TX-199
Düsseldorf,Barcelona,1466629860000,34,DN-221
Islamabad,Ahmadabad,1465769880000,71,HN-679
Warangal,Surat,1465161840000,54,HN-379
Rangoon,Guangzhou,1464385140000,121,AM-259
Benxi,Dhaka,1465313820000,118,FI-902
Wuhu,Puyang,1465162680000,18,NS-651
Kabul,Tashkent,1464891720000,79,FI-467
Shenyang,Guangzhou,1465332360000,105,NS-904
San Nicolás de los Garza,San Antonio,1465121520000,28,EA-178
Kinshasa,Warri,1466263680000,132,DN-444
Delhi,Tianjin,1465776780000,233,QI-987
Málaga,Algiers,1465150320000,40,QM-481
Tokyo,Shiraz,1464313860000,519,OG-756
Karachi,Bhavnagar,1464807420000,193,WI-716
Khabarovsk,Jiamusi,1464541200000,17,QM-809
Tabriz,Adana,1466547240000,42,NS-207
Pimpri,Kalyan,1466638380000,40,RK-683
Shanghai,Qingdao,1464574980000,258,AD-284
Minsk,Odesa,1465226340000,43,NS-755
Ludhiana,Srinagar,1466226840000,40,WK-619
Dehra Dun,Bhiwandi,1464574320000,19,AM-222
Ahmadabad,Agra,1464938280000,81,CE-618
Guangzhou,Tianjin,1466044080000,109,UA-494
Yueyang,Zhanjiang,1466004840000,18,KG-648
Lahore,Aurangabad,1466694600000,116,UA-648
Jakarta,Malang,1466126820000,147,SK-326
New Delhi,Antalya,1464885000000,185,QI-329
Hyderabad,Tokyo,1464749460000,557,SC-507
Wahran,Lagos,1465528020000,149,QM-257
Rotterdam,Bremen,1464785520000,18,SI-640
Rangoon,Wuhan,1464838260000,137,FI-889
Rongcheng,Bengbu,1465968720000,25,OG-142
Bombay,Suzhou,1465716600000,222,FI-958
Malang,Jakarta,1464666360000,147,OG-297
Calcutta,Luoyang,1464992460000,95,CE-320
Tashkent,Karachi,1466245620000,216,QI-253
Lakhnau,Jaipur,1464675180000,82,QI-762
Riyadh,Karachi,1466283120000,239,FI-738
Seoul,Hengyang,1464524220000,176,QI-583
Dushanbe,Lakhnau,1465776660000,47,RK-978
New Delhi,Foshan,1466430360000,183,SI-272
Langfang,Luancheng,1465006260000,20,TX-718
Fushun,Qinhuangdao,1466357700000,34,SI-865
Palembang,Jakarta,1466026920000,155,WI-694
León,Mexico,1465323780000,156,AM-393
Querétaro,Mexico,1464704700000,148,UA-684
Vienna,Baghdad,1465225680000,115,SC-313
Chongqing,Tianjin,1464175140000,122,OG-966
Hyderabad,Tokyo,1465504140000,557,TX-374
Madurai,Ulhasnagar,1465613880000,22,TX-675
Toluca,San Luis Potosí,1466415780000,18,AD-907
Xinyang,Makati,1466403600000,33,TX-384
Tokyo,Bekasi,1464541560000,524,AD-875
New Delhi,Saratov,1465598760000,187,HN-999
Istanbul,Munich,1464167160000,175,EA-805
Delhi,Amravati,1465436580000,183,DN-340
Volgograd,Moscow,1465801440000,180,HN-650
Marseille,Dortmund,1464364800000,22,WI-332
Antipolo,Jakarta,1464756000000,144,EA-934
Varanasi,Xian,1464572520000,81,SK-260
Ahmadabad,Varanasi,1464406020000,77,QM-578
Barnaul,Tokyo,1464951420000,509,WI-878
Genoa,Paris,1465934460000,42,SI-498
Jilin,Fuzhou,1465812900000,48,KG-513
Moradabad,Shanghai,1466255400000,243,TX-135
Pimpri,Shanghai,1464893280000,252,CE-859
Antalya,Karachi,1464685920000,196,UA-477
Xining,Shenyang,1465787700000,67,SK-737
López Mateos,Naucalpan,1465542180000,21,FI-358
Jakarta,Haikou,1464309120000,145,SI-560
Hyderabad,Indore,1465797120000,86,SC-528
Seoul,Pingdingshan,1465319100000,178,FI-542
Shaoyang,Xian,1464632880000,73,KG-114
Morelia,Mexico,1465254420000,147,SC-116
São Paulo,São José dos Campos,1464695940000,168,HN-960
Bombay,Hamadan,1466697180000,209,AD-936
Taichung,Chengdu,1466047320000,79,RK-693
New York,Caracas,1464845220000,157,AD-110
Bombay,New Delhi,1466673660000,375,AM-386
Zhangjiakou,Huainan,1464382380000,27,EA-930
Zhuzhou,Shaoyang,1466262180000,21,HN-165
San Nicolás de los Garza,Mexico,1465397520000,146,SI-265
Qinhuangdao,Kaohsiung,1465776120000,36,SC-976
Jinzhou,Xingtai,1464688260000,19,NS-450
Handan,Lahore,1466610060000,121,NS-770
New Delhi,Guiyang,1464635580000,192,WI-765
Athens,Palermo,1465026240000,22,QM-888
